S_NO,S_ADDR,S_STATIONID,S_STATIONNAME
2018200011,无,,无
2018200006,长江西路康宁路,QX098302,庙行
2016050032,杨高中路罗山路立交,PS000332,武宁
2016050002,G2赵家村西,SW63404210,纪王闸（闸内）
2015060068,长寿路桥西苏州路桥洞,PS000045,新客站
2015060117,S4沙建一路下立交,QX098101,漕泾
2016050010,G2赵家村东,SW63404210,纪王闸（闸内）
2015060053,G15嵩塘港汽孔,QX098410,陈家角
2015060038,G2博园路下立交,SW63404210,纪王闸（闸内）
2015060039,G15天字圩人孔,QX098410,陈家角
2019100004,纪翟路朱建路,QX098410,陈家角
2019100005,北青公路纪翟路,QX098410,陈家角
1701120019,梅园路沪杭铁路下立交（岳阳街道）,QX098252,第一中学
4782609387,金沙江西路,QX098420,华漕农管中心
82609428,浦卫公路,QX098101,漕泾
2019100001,纪鹤路联友路,SW63404210,纪王闸（闸内）
2019100002,闵北路联友路,QX098410,陈家角
2019100003,纪翟路纪梅路,SW63404210,纪王闸（闸内）
2018200039,交通西路中华新路,PS000045,新客站
2019300022,通南路新二路,PS000099,大上海
2017060004,上大路178号（上大路）,QX098303,大场
2019300011,双庆路永乐路,QX080012,体育场
2018200015,淞南路淞顺路,QX098304,凇南公园
2018100121,金辉路与运乐路,QX098410,陈家角
2018100122,金丰路与幸乐路,QX098410,陈家角
2018100123,金丰路与保乐路,QX098410,陈家角
2015060091,G1501前炬路地道,QX098820,周泾
4782609436,新源路,QX098820,周泾
2015060096,沪杭高铁成毛路下立交(卫星村成毛路隧道),QX098106,兴塔
2015060097,泖桥村万枫路隧道,QX098106,兴塔
2015060081,G1501民丰路地道,QX098820,周泾
2015060084,浦东铁路水库9组下立交(西),QX098109,漕泾休闲水庄
2015060077,浦东铁路水库9组下立交(东),QX098109,漕泾休闲水庄
2015060078,浦东铁路-建国路下立交,QX098101,漕泾
1701120081,浦东铁路沙积6组下立交,QX098101,漕泾
2016050110,G50庆丰路汽孔,QX098707,青东养老院
82608815,杨家巷柴塘路,QX098410,陈家角
2015060099,金山铁路蒋庄方家下立交,QX098109,漕泾休闲水庄
11130001,无,,无
11070006,武进路口,SW63425265,嘉兴路桥
2017050026,河南北路海宁路,SW63425265,嘉兴路桥
2016050116,S2人民路下立交,QX098517,泥城
2019300016,北京西路常德路,SW63425215,静安寺
2017050030,康定路延平路,SW63425215,静安寺
82139509,羽山路罗山路,PS000332,武宁
2015060071,金山铁路蒋庄张家下立交,QX098109,漕泾休闲水庄
2017060027,上海市闵行区纪翟路1625弄,SW63404210,纪王闸（闸内）
2015060073,金山铁路蒋庄7组下立交,QX098109,漕泾休闲水庄
2019200004,古莲路与塔源路交叉口,QX098306,月浦农副
2015060013,G2解放岛路地道,SW63404210,纪王闸（闸内）
